"days","m_grams","f_grams"
0,37,36.68
3,41.74,40.8
6,59.19,57.33
9,79.94,77.24
12,102.96,97.96
15,132.13,121.92
18,170.18,155.08
21,206.56,184.24
24,250.71,218.37
27,285.27,247.12
30,324.92,279.58
33,372.83,319.55
36,417.41,355.13
39,469.13,396.32
42,519.72,436.51
45,577.27,480.31
48,633.59,522.91
51,667.18,547.23
54,717.17,583.56
57,786.35,631.77
71,1069.28,832.57
85,1326.49,1009.48
99,1589.71,1183.8
113,1859.26,1440.18
127,2015.44,1561.89
141,2142.31,1619.34
155,2220.54,1680.29
170,2262.63,1717.78
